;Quantite Commande;Cout standard;Nom Client;Ville;Nom Produit;Couleur;Prix;Modele;Sous Categorie;Categorie;Type Business;Type Canal;Region;Pays;Continent;Date;Etat Civil;Genre;Revenu annuel;Nbr Enfants;Poste;Propeietaire Maison;Nbr Voitures;Annee;Mois;Semaine;Saison;Age;Tranche d'âge
0;1;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 42;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
1;3;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 44;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
2;1;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 48;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
3;1;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 38;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
4;1;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 42;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
5;2;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 44;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
6;1;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 48;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
7;3;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, M;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
8;1;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, XL;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
9;6;3.3963;Jordan Hernandez;Grossmont;Mountain Bike Socks, M;Inconnu;9.5;Mountain Bike Socks;Socks;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
10;2;5.7052;Jordan Hernandez;Grossmont;AWC Logo Cap;Inconnu;8.6442;Cycling Cap;Caps;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
11;4;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Blue;Bleu;33.6442;Sport-100;Helmets;Accessories;Value Added Reseller;Reseller;Southeast;United States;North America;2017-07-12;Marié(e);Homme;120000;3;Professional;OUI;4;2017;07;28;Ete;42;40-60
12;1;2171.2942;Courtney Edwards;Milwaukie;Road-150 Red, 56;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Northwest;United States;North America;2017-07-12;célibataire;Femme;70000;1;Professional;NON;0;2017;07;28;Ete;45;40-60
13;1;2171.2942;Edward Brown;Santa Monica;Road-150 Red, 48;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Southwest;United States;North America;2017-07-12;célibataire;Homme;160000;0;Management;NON;4;2017;07;28;Ete;39;20-40
14;1;2171.2942;Emma Brown;Lemon Grove;Road-150 Red, 48;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Southwest;United States;North America;2017-07-12;célibataire;Femme;120000;2;Management;OUI;4;2017;07;28;Ete;37;20-40
15;1;2171.2942;Katrina Raji;Wollongong;Road-150 Red, 56;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Australia;Australia;Pacific;2017-07-12;Marié(e);Femme;10000;1;Manual;OUI;0;2017;07;28;Ete;26;20-40
16;1;2171.2942;Martha Xu;Rockhampton;Road-150 Red, 52;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Australia;Australia;Pacific;2017-07-12;célibataire;Femme;80000;0;Skilled Manual;NON;2;2017;07;28;Ete;48;40-60
17;1;2171.2942;Abigail Henderson;Werne;Road-150 Red, 44;Rouge;3578.27;Road-150;Road Bikes;Bikes;[Not Applicable];Internet;Germany;Germany;Europe;2017-07-12;Marié(e);Femme;30000;0;Clerical;OUI;0;2017;07;28;Ete;61;60-80
18;1;413.1463;Brad Deng;Liverpool;Road-650 Red, 52;Rouge;699.0982;Road-650;Road Bikes;Bikes;[Not Applicable];Internet;United Kingdom;United Kingdom;Europe;2017-07-12;Marié(e);Homme;40000;1;Skilled Manual;OUI;0;2017;07;28;Ete;28;20-40
75;2;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 48;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
76;2;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 38;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
77;2;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 44;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
78;2;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 48;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
79;2;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, M;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
80;2;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, XL;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
81;12;3.3963;Jordan Hernandez;Grossmont;Mountain Bike Socks, M;Inconnu;9.5;Mountain Bike Socks;Socks;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
82;3;5.7052;Jordan Hernandez;Grossmont;AWC Logo Cap;Inconnu;8.6442;Cycling Cap;Caps;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
83;2;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Blue;Bleu;33.6442;Sport-100;Helmets;Accessories;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
84;2;617.0281;Jordan Hernandez;Grossmont;HL Mountain Frame - Black, 42;Noir;1191.1739;HL Mountain Frame;Mountain Frames;Components;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
85;1;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, L;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
86;1;706.811;Jordan Hernandez;Grossmont;HL Mountain Frame - Silver, 48;Argent;1364.5;HL Mountain Frame;Mountain Frames;Components;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
87;1;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Black;Noir;33.6442;Sport-100;Helmets;Accessories;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
88;2;12.0278;Jordan Hernandez;Grossmont;Sport-100 Helmet, Red;Rouge;33.6442;Sport-100;Helmets;Accessories;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
89;3;3.3963;Jordan Hernandez;Grossmont;Mountain Bike Socks, L;Inconnu;9.5;Mountain Bike Socks;Socks;Clothing;Value Added Reseller;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
90;3;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 42;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
91;2;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 44;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
92;3;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 42;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
93;4;1912.1544;Jordan Hernandez;Grossmont;Mountain-100 Silver, 48;Argent;3399.99;Mountain-100;Mountain Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
94;1;699.0928;Jordan Hernandez;Grossmont;HL Mountain Frame - Black, 48;Noir;1349.6;HL Mountain Frame;Mountain Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
95;1;617.0281;Jordan Hernandez;Grossmont;HL Mountain Frame - Black, 42;Noir;1191.1739;HL Mountain Frame;Mountain Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
96;1;623.8403;Jordan Hernandez;Grossmont;HL Mountain Frame - Silver, 46;Argent;1204.3248;HL Mountain Frame;Mountain Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
97;5;1898.0944;Jordan Hernandez;Grossmont;Mountain-100 Black, 38;Noir;3374.99;Mountain-100;Mountain Bikes;Bikes;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
98;1;623.8403;Jordan Hernandez;Grossmont;HL Mountain Frame - Silver, 38;Argent;1204.3248;HL Mountain Frame;Mountain Frames;Components;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
99;3;31.7244;Jordan Hernandez;Grossmont;Long-Sleeve Logo Jersey, M;Inconnu;48.0673;Long-Sleeve Logo Jersey;Jerseys;Clothing;Warehouse;Reseller;Southeast;United States;North America;2017-10-06;Marié(e);Homme;120000;3;Professional;OUI;4;2017;10;40;Automn;42;40-60
